Id,ele,slope,spi,tri,twi,plc,prc,CS_perc,litho_13,litho_14,litho_15,litho_16,litho_18,litho_19,litho_22,litho_23,litho_24,litho_25,uso_1,uso_2,uso_3,uso_4,uso_5,uso_6,asp_N,asp_NE,asp_E,asp_SE,asp_S,asp_SW,asp_W,asp_NW
1798,250.6625214,21.46978378,-229.7501831,2.489083529,12.89921951,-0.001393549,0.000879401,35,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0
1821,259.4082336,24.31557465,-852.5155029,2.861418724,13.59236717,0.004050984,0.000880181,30,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0
10263,197.2575531,28.54392624,55.26386261,3.46579814,6.584515572,-0.003434064,0.000885448,30,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0
1864,301.7475281,23.44136238,3301.137207,2.743385792,3.88090682,0.001167982,0.000885926,35,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0
10796,291.7141724,18.78948021,-60.14809036,2.153017282,13.81551075,-0.000284914,0.000891564,35,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0
10655,341.8425598,20.03994942,2250.675781,2.307170391,5.885803699,-0.004388032,0.00090036,40,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0
10194,323.5658875,22.69665527,340.6983032,2.646524906,6.151931763,0.00164537,0.000906396,35,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0
10902,264.7991333,17.98187637,-117.9759445,2.070225239,11.51292515,0.015231685,0.000908174,35,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0
1712,304.5328979,23.45418549,2773.195068,2.749581814,3.479809523,0.005343788,0.000909659,40,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0
10701,212.881546,9.107011795,-98.67362213,1.020508051,12.61153793,0.005623144,0.000913019,3,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,1,0,0
665,315.2574463,20.39031219,13311.5498,2.351574421,2.486541748,-0.005355938,0.000917863,40,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0
10025,213.6329346,4.990686893,-1050.006958,0.560917616,12.61153793,0.013147436,0.000918554,30,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0
1475,229.3296661,22.09833527,43.03963089,2.569161177,8.220808029,0.000569156,0.000918836,30,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0
10925,274.4457703,21.50667381,-526.3117676,2.498122692,13.81551075,-0.006268697,0.000920812,35,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0
10320,211.9670715,3.839642048,83.89593506,0.436003685,4.780763149,0.015674606,0.000921898,7,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0
2220,290.8447571,25.23129654,19.77512932,2.981357574,7.612209797,0.001049666,0.000929044,40,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0
686,284.0512085,19.66545677,1275.533813,2.271730661,7.029033661,-0.01533723,0.000929863,35,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0
10732,161.8724213,6.104126453,-615.3911133,0.678957224,15.03928566,-0.020576077,0.000930397,3,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,1
642,268.4513245,27.80107117,-460.8695984,3.335772038,13.71014977,0.000991095,0.000930593,35,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0
1752,326.4179993,15.78382301,98.80727386,1.795244932,9.747067451,-0.008415055,0.000933539,40,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1
667,271.4924011,25.40634346,28.06401634,3.011887074,5.875852108,0.007010221,0.000933735,40,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0
10877,221.1049957,25.69044304,62.3752594,3.056336403,5.077171803,0.010006022,0.000935697,30,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0
10382,298.3588257,23.07033157,1494.036255,2.694381475,6.059987068,-0.00578218,0.00093898,35,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0
10944,255.8046875,2.387953997,-375.3664551,0.266851753,12.89921951,-0.016362878,0.000942277,3,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,1,0,0
10246,293.239563,8.976940155,-8887.235352,1.01013875,16.73328209,-0.025596084,0.000944531,40,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1
10416,297.8769836,14.77663994,-403.3749084,1.673603296,12.61153793,0.005712709,0.000950372,35,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1
10643,337.5256348,16.82034492,607.9324951,1.913115621,4.997500896,-0.001766806,0.000958134,40,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0
1646,259.064209,28.93590736,622.9033813,3.519713163,6.934832096,-0.016384194,0.000958326,30,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0
2034,290.3738098,28.65756226,322.5287781,3.459625959,7.59303093,0.003263256,0.000959774,35,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0
1477,217.7682343,24.19903564,-675.6468506,2.846569538,13.12236309,0.004798004,0.000961212,30,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0
10850,310.2331238,25.21120834,133.6685486,2.981646776,9.981404305,-0.004140534,0.000962624,35,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0
2151,291.8074951,24.54434586,-200.1702423,2.888225794,12.61153793,-0.002008724,0.000963547,35,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0
10466,179.9289551,15.10343552,-898.0457764,1.709865212,14.07787514,-0.012312351,0.00096623,30,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1
